Orthogroup	schistosoma_mansoni	s.mekongi
OG0000237	Smp_130030.1	KAK4469703.1
OG0000238	Smp_158450.1	KAK4473873.1
OG0000239	Smp_163610.1	KAK4473024.1
OG0000240	Smp_168370.2	KAK4472743.1
OG0000241	Smp_244950.1	KAK4476019.1
OG0000241	Smp_244960.1	KAK4476020.1
OG0000241	Smp_171030.1	KAK4473290.1
OG0000242	Smp_346520.1	KAK4475949.1
OG0000243	Smp_246870.1	KAK4475854.1, KAK4475855.1
OG0000244	Smp_125550.1	KAK4475963.1
OG0000245	Smp_315810.1, Smp_315810.2	KAK4475214.1
OG0000246	Smp_334490.1	KAK4472531.1
OG0000247	Smp_340410.1	KAK4475795.1
OG0000248	Smp_023360.1	KAK4471206.1
OG0000249	Smp_340960.1	KAK4475119.1
OG0000250	Smp_049380.1	KAK4473679.1
OG0000251	Smp_055220.1	KAK4470876.1
OG0000252	Smp_088550.1	KAK4473757.1
OG0000253	Smp_130520.2, Smp_130520.1, Smp_130520.4, Smp_130520.3	KAK4474966.1
OG0000254	Smp_133740.1	KAK4476211.1
OG0000255	Smp_034870.1	KAK4472819.1
OG0000256	Smp_343260.1	KAK4472234.1, KAK4474108.1
OG0000257	Smp_164930.1	KAK4472840.1
OG0000258	Smp_065840.1	KAK4474630.1, KAK4474631.1
OG0000259	Smp_079370.1	KAK4472857.1
OG0000260	Smp_081450.1	KAK4475472.1
OG0000261	Smp_334030.1, Smp_334030.2	KAK4471010.1
OG0000262	Smp_012580.2, Smp_012580.1	KAK4472696.1
OG0000263	Smp_144430.1	KAK4471877.1
OG0000264	Smp_347000.1, Smp_133490.1	KAK4468105.1
OG0000264	Smp_134260.1	KAK4475793.1, KAK4467257.1
OG0000266	Smp_337080.1	KAK4467984.1
OG0000267	Smp_179490.1, Smp_179490.3, Smp_179490.2	KAK4468325.1, KAK4468328.1
OG0000268	Smp_067810.1	KAK4470182.1
OG0000269	Smp_318690.1, Smp_031000.1, Smp_031000.2	KAK4475673.1, KAK4467473.1
OG0000270	Smp_246700.1	KAK4472943.1
OG0000271	Smp_134670.1	KAK4469463.1
OG0000272	Smp_045950.1, Smp_045950.2	KAK4474616.1
OG0000273	Smp_171880.1	KAK4476008.1
OG0000274	Smp_334430.3, Smp_334430.1, Smp_334430.2	KAK4470994.1
OG0000275	Smp_196840.1	KAK4473868.1
OG0000276	Smp_312920.1	KAK4470557.1
OG0000277	Smp_332260.1, Smp_332260.2	KAK4468906.1
OG0000281	Smp_154160.1	KAK4467957.1
OG0000281	Smp_323740.1, Smp_344370.1	KAK4474290.1
OG0000281	Smp_007730.1	KAK4474343.1
OG0000282	Smp_034270.1	KAK4469862.1
OG0000283	Smp_126240.1, Smp_126240.2	KAK4471958.1
OG0000284	Smp_121950.1	KAK4473458.1
OG0000285	Smp_000020.1	KAK4474033.1
OG0000286	Smp_040510.1	KAK4473497.1
OG0000287	Smp_120640.1	KAK4470322.1
OG0000288	Smp_123180.1	KAK4468827.1
OG0000289	Smp_194590.1	KAK4474869.1
OG0000290	Smp_163580.1, Smp_163580.2	KAK4473084.1
OG0000290	Smp_176050.1	KAK4475486.1
OG0000291	Smp_130440.1	KAK4475323.1
OG0000292	Smp_083040.1, Smp_083040.2	KAK4472551.1
OG0000293	Smp_035580.1	KAK4473120.1
OG0000293	Smp_028990.1	KAK4471757.1
OG0000293	Smp_004810.1	KAK4469130.1
OG0000294	Smp_324700.1, Smp_324700.2, Smp_340380.1	KAK4475667.1, KAK4467246.1
OG0000295	Smp_247750.1, Smp_179250.1, Smp_247760.1, Smp_089290.1	KAK4468851.1
OG0000296	Smp_322820.1	KAK4475927.1
OG0000296	Smp_322830.1, Smp_322810.1	KAK4475928.1
OG0000297	Smp_050520.1	KAK4470949.1
OG0000298	Smp_336620.1	KAK4473556.1
OG0000298	Smp_135040.1, Smp_135040.2	KAK4473971.1
OG0000299	Smp_074050.1	KAK4471833.1
OG0000300	Smp_061840.1	KAK4474560.1
OG0000301	Smp_042160.1	KAK4470788.1
OG0000302	Smp_104500.3, Smp_104500.1, Smp_104500.4, Smp_104500.2	KAK4472070.1
OG0000304	Smp_340500.1	KAK4474657.1, KAK4474658.1
OG0000305	Smp_060940.1	KAK4469933.1
OG0000306	Smp_342740.1	KAK4474242.1, KAK4476079.1
OG0000307	Smp_343920.1	KAK4476060.1
OG0000307	Smp_011000.1	KAK4468423.1
OG0000310	Smp_247080.1	KAK4473952.1
OG0000311	Smp_161120.1, Smp_161120.2	KAK4475143.1
OG0000312	Smp_152840.1	KAK4472510.1
OG0000313	Smp_045980.1	KAK4467534.1, KAK4467392.1, KAK4467538.1
OG0000314	Smp_159070.1	KAK4473872.1
OG0000315	Smp_007260.1	KAK4472350.1
OG0000315	Smp_136710.2, Smp_136710.1	KAK4471203.1
OG0000316	Smp_168660.1	KAK4475212.1
OG0000317	Smp_097820.1, Smp_097820.2	KAK4474513.1, KAK4474523.1
OG0000318	Smp_065130.1	KAK4468970.1, KAK4467294.1
OG0000319	Smp_167160.1, Smp_167160.2	KAK4472555.1
OG0000320	Smp_306980.1	KAK4475005.1
OG0000320	Smp_140860.1	KAK4472423.1
OG0000320	Smp_245990.2, Smp_245990.1	KAK4469809.1
OG0000321	Smp_083780.1	KAK4473857.1
OG0000322	Smp_194030.1	KAK4473133.1
