Orthogroup	schistosoma_japonicum	trichobilharzia_regenti
OG0000073	EWB00_000436.1, EWB00_000439, EWB00_000436.3, EWB00_000436.5, EWB00_000436.4, EWB00_000436.2, EWB00_000437	TREG1_65500.1, TREG1_65510.1
OG0000074	EWB00_007721.2, EWB00_007721.3, EWB00_007721.5	TREG1_9890.1
OG0000074	EWB00_007512.1	TREG1_121440.3, TREG1_121440.1, TREG1_121440.2
OG0000074	EWB00_004196.6	TREG1_20790.1
OG0000074	EWB00_008993	TREG1_124660.1
OG0000075	EWB00_001749	TREG1_53440.1, TREG1_53440.2
OG0000076	EWB00_000338, EWB00_000339	TREG1_126320.1, TREG1_126330.1
OG0000076	EWB00_009041	TREG1_910.2, TREG1_910.1, TREG1_920.1
OG0000077	EWB00_004677	TREG1_9470.1, TREG1_9470.2
OG0000078	EWB00_006317.1, EWB00_006317.2, EWB00_006317.4, EWB00_006317.5, EWB00_006317.3	TREG1_1670.2, TREG1_1670.1, TREG1_1670.3, TREG1_1670.5, TREG1_1670.6, TREG1_1670.7, TREG1_1670.4
OG0000079	EWB00_002888.1, EWB00_002888.2, EWB00_002888.3	TREG1_52960.1
